run_id,treat_none,treat_all,random,score,causal
245,45913,59956,47365,50309,50309
246,45875,59924,47237,50246,50246
247,45822,59766,47232,50146,50146
248,45788,59852,47316,50124,50124
249,45609,59607,46965,49939,49939
250,45626,60018,47061,50051,50051
251,45580,59784,46962,49963,49963
252,45735,60118,47156,50186,50186
253,45621,59846,47092,50031,50031
254,45677,59864,47114,50071,50071
255,45495,59887,46905,49833,49833
256,45753,59914,47127,50204,50204
257,45678,59809,47124,50037,50037
258,45646,59929,47040,50031,50031
259,45986,60112,47424,50377,50377
260,45872,60146,47298,50323,50323
261,45569,59711,46914,49962,49962
262,45669,60035,47041,50112,50112
263,45710,60169,47126,50190,50190
264,45426,59536,46864,49764,49764
265,45813,60015,47239,50209,50209
266,45737,59940,47209,50117,50117
267,45781,59927,47206,50126,50126
268,45680,59778,47161,50052,50052
269,45748,59760,47110,50164,50164
270,45655,59781,47131,50020,50020
271,45760,59916,47129,50150,50150
272,45506,59740,46977,49899,49899
273,45601,59817,46960,50048,50048
274,45724,59906,47214,50075,50075
275,45593,59667,46975,49884,49884
276,45540,59834,46970,49939,49939
277,45647,59695,47058,50036,50036
278,45472,59651,46872,49920,49920
279,45958,60141,47393,50277,50277
280,45845,59998,47254,50258,50258
281,45547,59670,46898,49922,49922
282,45678,60023,47122,50143,50143
283,45720,59775,47182,50176,50176
284,45725,59927,47070,50052,50052
285,45788,59866,47234,50213,50213
286,45913,59830,47362,50327,50327
287,45809,60028,47256,50254,50254
288,45538,59629,46906,50002,50002
289,45672,59696,47155,50020,50020
290,45809,59920,47250,50131,50131
291,45627,59889,47071,50018,50018
292,46125,60237,47574,50496,50496
293,45720,59854,47146,50064,50064
294,45751,59867,47183,50196,50196
295,45786,59942,47254,50162,50162
296,45737,60139,47214,50176,50176
297,45693,59730,47109,50114,50114
298,45965,60054,47363,50421,50421
299,45632,59797,47061,50003,50003
300,45735,59963,47187,50158,50158
301,45782,59990,47206,50226,50226
302,45720,60010,47167,50137,50137
303,45483,59669,46904,49944,49944
304,45454,59691,46943,49877,49877
305,45857,59965,47216,50349,50349
306,45997,60375,47410,50478,50478
307,45861,59808,47247,50161,50161
308,45705,59914,46986,50055,50055
309,45845,59868,47256,50211,50211
310,45797,59864,47218,50194,50194
311,45603,59692,46981,49991,49991
312,45528,59875,46898,49972,49972
313,45789,60058,47213,50328,50328
314,45712,59875,47164,50109,50109
315,45812,59966,47263,50204,50204
316,45886,59857,47268,50217,50217
317,45551,59820,46946,49932,49932
318,45751,59870,47177,50076,50076
319,45853,59732,47163,50199,50199
320,45700,60005,47187,50129,50129
321,45699,59900,47157,50078,50078
322,45868,59951,47287,50215,50215
323,45524,59702,46911,49897,49897
324,45781,59948,47179,50137,50137
325,45778,59996,47187,50122,50122
326,45990,60138,47444,50334,50334
327,45723,59919,47112,50162,50162
328,45612,59795,47009,50077,50077
329,45734,60075,47240,50153,50153
330,45462,59801,46911,49885,49885
331,45576,59831,47059,49993,49993
332,45644,59744,47116,50022,50022
333,45817,59933,47191,50191,50191
334,45576,59690,46988,50010,50010
335,45880,59805,47278,50178,50178
336,45606,59775,47036,50023,50023
337,45737,59850,47104,50177,50177
338,45563,59760,46921,50067,50067
339,45509,59780,46944,49851,49851
340,45437,59562,46889,49825,49825
341,45642,59968,47072,50114,50114
342,45816,60072,47252,50277,50277
343,45531,59880,46952,49993,49993
344,45675,59740,47088,50041,50041
345,45508,59496,46892,49891,49891
346,45665,59779,47073,50029,50029
347,45680,59791,47045,50055,50055
348,45692,59849,47141,50063,50063
349,45719,59788,47076,50097,50097
350,45597,59704,47005,50014,50014
351,45636,59763,47118,50039,50039
352,45611,59786,47016,49899,49899
353,45770,60033,47102,50200,50200
354,45633,59723,46968,49946,49946
355,45755,59837,47165,50092,50092
356,45750,59737,47108,50129,50129
357,45432,59556,46799,49851,49851
358,45623,59732,47051,50024,50024
359,45703,59749,47136,50050,50050
360,45695,59732,47116,50058,50058
361,45457,59622,46878,49781,49781
362,45893,60006,47268,50322,50322
363,45682,59889,47075,50119,50119
364,45755,60155,47212,50244,50244
365,45698,59893,47116,50048,50048
366,45821,59790,47236,50172,50172
367,45664,59778,47111,50047,50047
368,45700,59879,47104,50103,50103
369,45536,59782,46957,50054,50054
370,45714,59873,47099,50154,50154
371,45598,59800,46955,49957,49957
372,45666,59815,47025,50006,50006
373,45573,59735,46965,49937,49937
374,45578,59766,46970,49947,49947
375,45530,59788,46951,49993,49993
376,45666,59836,47126,50048,50048
377,45630,59807,47047,49996,49996
378,45935,59912,47299,50279,50279
379,45668,59739,47047,49939,49939
380,45615,59810,46958,49992,49992
381,45576,59769,47015,49991,49991
382,45643,59827,47093,50054,50054
383,45840,59910,47270,50183,50183
384,45903,60010,47367,50342,50342
385,45443,59633,46859,49867,49867
386,45796,60036,47297,50201,50201
387,45706,59596,47091,50041,50041
388,45733,59949,47135,50127,50127
389,45908,59862,47358,50231,50231
390,45722,59954,47148,50130,50130
391,45683,59919,47094,50111,50111
392,45584,59688,47036,49946,49946
393,45690,59753,47017,50066,50066
394,45598,59914,47044,49986,49986
395,45577,59791,47039,49961,49961
396,45808,59848,47213,50192,50192
397,45513,59660,46845,49899,49899
398,45925,60024,47323,50273,50273
399,45509,59772,46865,49994,49994
400,45479,59791,46938,49909,49909
401,45624,59974,47018,50001,50001
402,45547,59799,46956,49922,49922
403,45780,60000,47210,50205,50205
404,45858,59964,47371,50232,50232
405,45507,59638,46868,49846,49846
406,45498,59647,46925,49963,49963
407,45645,59746,47077,50003,50003
408,45552,59683,46995,50014,50014
409,45441,59678,46825,49851,49851
410,45842,60066,47304,50213,50213
411,45798,60161,47220,50319,50319
412,45831,59943,47224,50154,50154
413,45505,59817,46981,49963,49963
414,45504,59613,46881,49835,49835
415,45587,59682,46985,50017,50017
416,45438,59673,46888,49825,49825
417,45652,59986,47118,50084,50084
418,45422,59578,46887,49807,49807
419,45697,59791,47124,50072,50072
420,45487,59540,46903,49910,49910
421,45743,59916,47156,50240,50240
422,45612,59766,47023,49969,49969
423,45652,59968,47072,50076,50076
424,45935,60097,47345,50317,50317
425,45374,59626,46729,49740,49740
426,45645,59920,46972,50041,50041
427,45611,59745,47002,49989,49989
428,45731,59872,47157,50167,50167
429,45673,60044,47059,50135,50135
430,45718,59677,47051,50078,50078
431,45713,59773,47013,50060,50060
432,45728,59829,47141,50146,50146
433,45974,59912,47378,50374,50374
434,45725,59948,47098,50071,50071
435,45795,60039,47197,50184,50184
436,45833,59985,47208,50346,50346
437,45790,59985,47177,50172,50172
438,45625,59896,47018,50059,50059
439,45572,59756,47071,50007,50007
440,45529,59779,46954,49854,49854
441,45540,59632,46905,49914,49914
442,45673,59833,47099,50034,50034
443,45803,59781,47119,50243,50243
444,45441,59808,46885,49842,49842
445,45930,60149,47376,50409,50409
446,45576,59736,47035,49956,49956
447,45701,59864,47177,50090,50090
448,45834,59986,47279,50173,50173
449,45894,59995,47335,50281,50281
450,45519,59637,47007,49865,49865
451,45808,59904,47197,50188,50188
452,45818,60171,47284,50266,50266
453,45799,60149,47253,50190,50190
454,45422,59829,46874,49853,49853
455,45596,59888,46946,50019,50019
456,45590,59722,47000,49985,49985
457,45783,59865,47181,50094,50094
458,45944,60146,47437,50348,50348
459,45562,59846,46979,49972,49972
460,45539,59858,46972,49971,49971
461,45821,60158,47343,50245,50245
462,45556,59790,47011,50000,50000
463,45707,59921,47131,50089,50089
464,45434,59722,46834,49808,49808
465,45639,59949,47027,50040,50040
466,45936,60029,47317,50305,50305
467,45787,59765,47143,50127,50127
468,45953,60053,47366,50301,50301
469,45783,60063,47182,50170,50170
470,45786,59767,47229,50171,50171
471,45809,60006,47195,50210,50210
472,45856,59960,47294,50230,50230
473,45785,60142,47155,50176,50176
474,45718,59726,47112,50120,50120
475,45676,59828,47106,50040,50040
476,45640,59943,47061,50076,50076
477,45699,59926,47146,50058,50058
478,45772,59769,47195,50166,50166
479,45820,59757,47194,50178,50178
480,45736,59794,47113,50083,50083
481,45436,59680,46819,49801,49801
482,45630,60031,47049,50153,50153
483,45594,59753,47031,50057,50057
484,45919,60125,47305,50307,50307
485,45824,59795,47236,50125,50125
486,45689,59997,47165,50118,50118
487,45442,59535,46887,49832,49832
488,45589,59983,46997,49957,49957
489,45872,60161,47323,50283,50283
490,45490,59613,46923,49906,49906
491,45555,59794,46976,49997,49997
492,45958,60231,47417,50354,50354
493,45613,59996,47028,49964,49964
494,45867,60052,47365,50327,50327
495,45476,59788,46990,49946,49946
496,45516,59792,46910,49904,49904
497,45897,59890,47338,50253,50253
498,45971,60092,47372,50312,50312
499,45784,59956,47242,50119,50119
500,45784,59967,47239,50098,50098
501,45764,59992,47115,50180,50180
502,45843,59971,47268,50204,50204
503,45788,60079,47211,50229,50229
504,45775,59877,47190,50154,50154
505,45645,59861,47075,50044,50044
506,45383,59663,46821,49767,49767
507,45807,59871,47141,50235,50235
508,45585,59747,46990,49890,49890
509,45902,59888,47286,50291,50291
510,45695,60073,47077,50048,50048
511,45490,59866,46924,49885,49885
512,45610,59879,47063,49918,49918
513,45637,59877,47051,49982,49982
514,45442,59801,46848,49842,49842
515,45874,60110,47250,50240,50240
516,45794,60182,47151,50245,50245
517,45728,59857,47188,50104,50104
518,45609,59759,47000,50016,50016
519,45588,59911,47024,50000,50000
520,45727,59626,47123,50034,50034
521,45603,59771,47061,50013,50013
522,45904,60015,47326,50296,50296
523,45568,59776,46986,49958,49958
524,45733,59993,47124,50157,50157
525,45873,60156,47286,50310,50310
526,45623,59775,47079,50005,50005
527,45754,60027,47176,50185,50185
528,45823,59931,47202,50232,50232
529,45792,60092,47140,50228,50228
530,45625,59945,47053,50005,50005
531,45541,59688,46944,49971,49971
532,45691,59720,47059,50144,50144
533,45296,59425,46789,49575,49575
534,45722,59849,47199,50115,50115
535,45896,60059,47373,50364,50364
536,45635,59826,47013,50037,50037
537,45613,59877,47084,49985,49985
538,45780,60052,47234,50154,50154
539,45708,60009,47071,50120,50120
540,45928,60477,47372,50422,50422
541,45820,60009,47210,50201,50201
542,45760,59837,47133,50119,50119
543,45634,59799,47079,50035,50035
544,45601,59625,47010,49890,49890
545,45802,60046,47231,50271,50271
546,45728,59996,47169,50085,50085
547,45721,59833,47192,50071,50071
548,45691,59959,47114,50033,50033
549,45649,59834,47097,50138,50138
550,45899,60033,47279,50321,50321
551,45508,59606,46916,49883,49883
552,45599,59642,47017,49976,49976
553,45734,59876,47205,50213,50213
554,45811,60086,47250,50189,50189
555,45756,59874,47221,50101,50101
556,45925,59982,47387,50265,50265
557,45703,59860,47109,50142,50142
558,45696,59725,47079,50012,50012
559,45815,60020,47196,50189,50189
560,45666,59743,46972,49997,49997
561,45734,60043,47195,50132,50132
562,45754,59912,47200,50130,50130
563,45613,59882,47122,50019,50019
