run_id,treat_none,treat_all,random,score,causal
77,45844,54557,46692,48476,49524
78,45611,54421,46498,48214,49308
79,45706,54593,46586,48364,49479
80,45638,54551,46572,48213,49396
81,45742,54564,46656,48396,49462
82,45852,54633,46788,48402,49527
83,45750,54581,46591,48392,49468
84,45744,54539,46564,48385,49436
85,45606,54553,46506,48292,49329
86,45962,54681,46857,48582,49656
87,45716,54646,46631,48299,49522
88,45609,54739,46602,48287,49414
89,45715,54676,46571,48376,49478
90,45791,54735,46657,48416,49575
91,45614,54451,46535,48210,49317
92,45992,54799,46848,48614,49744
93,45739,54639,46606,48339,49471
94,45829,54709,46793,48501,49561
95,45664,54457,46536,48307,49458
96,45676,54514,46517,48295,49430
97,45494,54484,46363,48171,49287
98,45696,54618,46593,48300,49518
99,45638,54301,46479,48211,49335
100,45813,54717,46699,48449,49476
101,45630,54613,46578,48283,49347
102,45605,54600,46511,48254,49393
103,45524,54228,46417,48138,49248
104,45888,54873,46814,48557,49565
105,45437,54343,46237,48104,49109
106,45795,54673,46707,48412,49625
107,45907,54739,46800,48589,49607
108,45561,54376,46393,48172,49229
109,45552,54369,46424,48138,49271
110,45462,54386,46321,48164,49297
111,45666,54314,46547,48279,49400
112,45482,54364,46342,48154,49208
113,45814,54717,46639,48447,49512
114,45618,54662,46563,48257,49389
115,45767,54771,46685,48375,49500
116,45724,54572,46607,48264,49482
117,45745,54689,46614,48388,49496
118,45745,54816,46671,48440,49403
119,45656,54457,46526,48281,49304
120,45657,54635,46579,48279,49364
121,45933,54974,46839,48598,49663
122,46045,54683,46888,48652,49822
123,45786,54642,46675,48335,49475
124,45451,54479,46365,48080,49218
125,45754,54522,46613,48336,49488
126,45696,54520,46565,48308,49468
127,45616,54506,46523,48186,49343
128,45681,54749,46596,48310,49440
129,45800,54780,46682,48401,49561
130,45821,54764,46715,48376,49542
131,45537,54401,46432,48113,49276
132,45533,54405,46416,48118,49277
133,45633,54567,46526,48237,49370
134,45645,54497,46498,48331,49416
135,45651,54573,46536,48236,49435
136,45788,54802,46675,48474,49579
137,45638,54477,46464,48238,49454
138,45554,54349,46422,48193,49324
139,45905,54785,46819,48562,49653
140,45725,54577,46598,48361,49458
141,45821,54619,46694,48502,49577
142,45535,54599,46376,48149,49268
143,45495,54391,46416,48107,49234
144,45829,54700,46767,48445,49551
145,45759,54483,46674,48374,49519
146,45664,54690,46619,48346,49460
147,45550,54505,46475,48260,49331
148,45763,54597,46666,48333,49474
149,45392,54356,46272,48044,49135
150,45721,54676,46638,48414,49498
151,45662,54542,46597,48284,49357
152,45771,54700,46700,48403,49513
153,45913,54928,46754,48496,49744
154,45517,54318,46434,48116,49287
