run_id,policy,outcome
149,score,49773
149,treat_all,59709
150,treat_all,60022
150,random,47178
150,score,50143
150,causal,50143
150,treat_none,45721
151,treat_all,59931
151,score,50030
151,causal,50030
151,random,47122
151,treat_none,45662
152,score,50076
152,causal,50076
152,random,47199
152,treat_none,45771
152,treat_all,59796
153,random,47283
153,causal,50191
153,score,50191
153,treat_all,60029
153,treat_none,45913
154,random,46942
154,treat_none,45517
154,causal,49947
154,treat_all,59596
154,score,49947
155,causal,49966
155,treat_none,45579
155,random,47089
155,treat_all,59955
155,score,49966
156,score,49798
156,causal,49798
156,random,46834
156,treat_all,59798
156,treat_none,45477
157,treat_none,45286
157,score,49707
157,treat_all,59469
157,causal,49707
157,random,46702
158,score,50038
158,random,47029
158,treat_all,59784
158,causal,50038
158,treat_none,45663
159,random,47401
159,treat_none,45986
159,score,50328
159,treat_all,60186
159,causal,50328
160,treat_none,45725
160,random,47185
160,score,50089
160,treat_all,59826
160,causal,50089
161,score,49960
161,causal,49960
161,treat_none,45594
161,treat_all,59839
161,random,47021
162,causal,50101
162,treat_all,59773
162,treat_none,45662
162,score,50101
162,random,47123
163,random,46819
163,causal,49829
163,treat_all,59585
163,treat_none,45428
163,score,49829
164,causal,50083
164,treat_none,45751
164,score,50083
164,treat_all,59910
164,random,47191
165,treat_none,45537
165,causal,49865
165,random,46993
165,score,49865
165,treat_all,59871
166,score,49904
166,treat_all,59759
166,causal,49904
166,random,46906
166,treat_none,45559
167,treat_all,60016
167,score,50127
167,causal,50127
167,treat_none,45714
167,random,47168
168,score,50005
168,random,47164
168,treat_all,59670
168,causal,50005
168,treat_none,45688
169,treat_none,45743
169,random,47226
169,score,50173
169,causal,50173
169,treat_all,59944
170,score,49979
170,random,46998
170,causal,49979
170,treat_all,59569
170,treat_none,45605
171,score,50014
171,treat_all,59501
171,treat_none,45546
171,random,46953
171,causal,50014
172,treat_all,60166
172,random,47334
172,causal,50439
172,score,50439
172,treat_none,45980
173,score,50258
173,treat_all,59885
173,treat_none,45878
173,random,47275
173,causal,50258
174,treat_none,45618
174,score,50040
174,causal,50040
174,random,47031
174,treat_all,59816
175,causal,50042
175,random,47029
175,treat_all,59763
175,treat_none,45608
175,score,50042
176,score,50008
176,causal,50008
176,treat_all,59710
176,random,47086
176,treat_none,45670
177,causal,50273
177,treat_none,45848
177,random,47294
177,treat_all,60031
177,score,50273
178,random,47008
178,treat_all,59998
178,causal,50035
178,score,50035
178,treat_none,45623
179,treat_none,45430
179,random,46841
179,causal,49836
179,treat_all,59875
179,score,49836
180,treat_none,45547
180,treat_all,59885
180,random,46935
180,causal,49976
180,score,49976
181,causal,50276
181,score,50276
181,treat_all,60191
181,random,47300
181,treat_none,45866
182,score,50106
182,treat_none,45699
182,treat_all,59798
182,causal,50106
182,random,47115
183,score,49956
183,random,47029
183,treat_none,45658
183,treat_all,59677
183,causal,49956
184,score,50147
184,random,47163
184,treat_none,45746
184,causal,50147
184,treat_all,59833
185,causal,50246
185,random,47285
185,treat_all,59989
185,score,50246
185,treat_none,45885
186,random,47239
186,treat_all,59905
186,score,50258
186,causal,50258
186,treat_none,45880
187,score,49945
187,treat_all,59777
187,random,46897
187,causal,49945
187,treat_none,45536
188,causal,50009
188,treat_all,59663
188,treat_none,45580
188,random,47012
188,score,50009
189,causal,50031
189,random,47161
189,score,50031
189,treat_none,45694
189,treat_all,59817
190,treat_none,45796
190,score,50206
190,treat_all,60041
190,causal,50206
190,random,47194
191,treat_all,59818
191,random,47071
191,score,50035
191,treat_none,45605
191,causal,50035
192,score,50095
192,causal,50095
192,treat_none,45648
192,treat_all,59828
192,random,47059
193,score,50520
193,causal,50520
193,treat_all,60160
193,treat_none,46165
193,random,47524
194,score,50111
194,treat_none,45665
194,causal,50111
194,treat_all,59785
194,random,47087
195,random,47208
195,treat_all,60024
195,score,50222
195,treat_none,45842
195,causal,50222
196,random,47164
196,treat_none,45773
196,score,50259
196,causal,50259
196,treat_all,60012
197,score,49750
197,treat_none,45371
197,causal,49750
197,treat_all,59506
197,random,46835
198,causal,50077
198,random,47137
198,treat_all,59795
198,score,50077
198,treat_none,45715
199,score,49930
199,causal,49930
199,treat_all,59866
199,random,46942
199,treat_none,45534
200,treat_all,59832
200,random,47019
200,score,49996
200,causal,49996
200,treat_none,45553
201,score,50094
201,treat_all,60018
201,causal,50094
201,random,47089
201,treat_none,45614
202,treat_all,59900
202,random,47284
202,causal,50257
202,treat_none,45899
202,score,50257
203,random,47255
203,treat_all,60022
203,causal,50132
203,treat_none,45755
203,score,50132
204,treat_none,45468
204,random,46848
204,treat_all,59656
204,score,49826
204,causal,49826
205,random,47054
205,treat_all,59961
205,causal,50121
205,treat_none,45691
205,score,50121
206,random,47205
206,score,50244
206,treat_all,60032
206,causal,50244
206,treat_none,45873
207,treat_all,60021
207,random,47348
207,causal,50262
207,treat_none,45925
207,score,50262
208,treat_all,59933
208,random,47237
208,causal,50201
208,treat_none,45840
208,score,50201
209,random,47072
209,causal,50011
209,treat_all,59866
209,treat_none,45661
209,score,50011
210,treat_none,45513
210,random,46948
210,score,49985
210,causal,49985
210,treat_all,59777
211,score,50137
211,treat_all,59714
211,treat_none,45795
211,causal,50137
211,random,47123
212,score,49982
212,treat_none,45612
212,causal,49982
212,treat_all,59775
212,random,47028
213,score,49800
213,treat_all,59658
213,treat_none,45403
213,random,46816
213,causal,49800
214,treat_all,59859
214,score,50091
214,causal,50091
214,random,47119
214,treat_none,45734
215,causal,50025
215,random,46966
215,treat_all,60025
215,score,50025
215,treat_none,45560
216,causal,50034
216,treat_all,59864
216,random,47120
216,score,50034
216,treat_none,45682
217,treat_all,59928
217,random,47245
217,score,50229
217,causal,50229
217,treat_none,45811
218,score,50247
218,random,47250
218,treat_all,60031
218,causal,50247
218,treat_none,45826
219,treat_none,45664
219,random,47031
219,treat_all,59831
219,score,50049
219,causal,50049
220,treat_none,45634
220,score,50033
220,random,47011
220,causal,50033
220,treat_all,59774
221,treat_all,59636
221,random,47067
221,score,49971
221,causal,49971
221,treat_none,45585
222,score,49845
222,random,46873
222,causal,49845
222,treat_all,59603
222,treat_none,45473
223,causal,50170
223,treat_all,60031
223,score,50170
223,random,47128
223,treat_none,45781
224,score,50180
224,random,47212
224,treat_none,45794
224,treat_all,59789
224,causal,50180
225,causal,50200
225,treat_all,59718
225,random,47156
225,treat_none,45794
225,score,50200
226,causal,49904
226,random,46833
226,treat_none,45469
226,score,49904
226,treat_all,59617
227,treat_all,59931
227,random,47209
227,treat_none,45775
227,score,50090
227,causal,50090
228,score,50003
228,treat_none,45634
228,random,47152
228,treat_all,59804
228,causal,50003
229,score,50148
229,treat_none,45759
229,treat_all,59868
229,random,47186
229,causal,50148
230,treat_all,60276
230,causal,50413
230,random,47428
230,score,50413
230,treat_none,45994
231,causal,50320
231,random,47375
231,treat_all,60180
231,score,50320
231,treat_none,45924
232,causal,50081
232,treat_none,45751
232,random,47156
232,score,50081
232,treat_all,59671
233,treat_none,45659
233,score,50003
233,random,47050
233,treat_all,59723
233,causal,50003
234,random,46935
234,score,50006
234,causal,50006
234,treat_none,45600
234,treat_all,59661
235,random,47175
235,treat_all,59981
235,causal,50167
235,treat_none,45722
235,score,50167
236,random,46864
236,causal,49906
236,treat_none,45437
236,treat_all,59867
236,score,49906
237,treat_all,59904
237,random,47296
237,treat_none,45852
237,causal,50305
237,score,50305
238,causal,49942
238,random,46922
238,score,49942
238,treat_all,59847
238,treat_none,45448
239,treat_all,60210
239,causal,50430
239,random,47395
239,score,50430
239,treat_none,45999
240,treat_all,59613
240,score,49929
240,treat_none,45624
240,random,47051
240,causal,49929
241,score,50335
241,treat_none,45909
241,causal,50335
241,random,47331
241,treat_all,60057
242,random,47134
242,causal,49988
242,score,49988
242,treat_none,45672
242,treat_all,59962
243,causal,49978
243,random,46941
243,treat_all,59738
243,score,49978
243,treat_none,45555
244,score,50201
244,treat_none,45841
244,treat_all,59776
244,causal,50201
244,random,47201
245,causal,50309
245,treat_none,45913
245,treat_all,59956
245,score,50309
245,random,47365
246,treat_none,45875
246,causal,50246
246,treat_all,59924
246,score,50246
246,random,47237
247,causal,50146
247,score,50146
247,treat_all,59766
247,random,47232
247,treat_none,45822
248,score,50124
248,random,47316
248,treat_all,59852
248,causal,50124
248,treat_none,45788
249,random,46965
249,treat_none,45609
249,treat_all,59607
249,score,49939
249,causal,49939
250,causal,50051
250,treat_all,60018
250,random,47061
250,score,50051
250,treat_none,45626
251,score,49963
251,random,46962
251,treat_none,45580
251,causal,49963
251,treat_all,59784
252,treat_none,45735
252,treat_all,60118
252,random,47156
252,score,50186
252,causal,50186
253,random,47092
253,treat_none,45621
253,causal,50031
253,treat_all,59846
253,score,50031
254,causal,50071
254,treat_none,45677
254,treat_all,59864
254,score,50071
254,random,47114
255,treat_none,45495
255,treat_all,59887
255,score,49833
255,causal,49833
255,random,46905
256,random,47127
256,treat_none,45753
256,score,50204
256,treat_all,59914
256,causal,50204
257,score,50037
257,treat_all,59809
257,random,47124
257,causal,50037
257,treat_none,45678
258,causal,50031
258,score,50031
258,random,47040
258,treat_all,59929
258,treat_none,45646
259,score,50377
259,random,47424
259,treat_all,60112
259,causal,50377
259,treat_none,45986
260,causal,50323
260,random,47298
260,score,50323
260,treat_none,45872
260,treat_all,60146
261,score,49962
261,treat_none,45569
261,treat_all,59711
261,random,46914
261,causal,49962
262,random,47041
262,treat_all,60035
262,causal,50112
262,treat_none,45669
262,score,50112
263,causal,50190
263,treat_all,60169
263,treat_none,45710
263,random,47126
263,score,50190
264,causal,49764
264,score,49764
264,treat_all,59536
264,random,46864
264,treat_none,45426
265,causal,50209
265,treat_all,60015
265,treat_none,45813
265,random,47239
265,score,50209
266,causal,50117
266,treat_none,45737
266,score,50117
266,random,47209
266,treat_all,59940
267,random,47206
267,treat_none,45781
267,treat_all,59927
267,score,50126
267,causal,50126
268,treat_all,59778
268,treat_none,45680
268,random,47161
268,score,50052
268,causal,50052
269,random,47110
269,treat_all,59760
269,score,50164
269,causal,50164
269,treat_none,45748
270,score,50020
270,treat_all,59781
270,treat_none,45655
270,random,47131
270,causal,50020
271,treat_none,45760
271,treat_all,59916
271,random,47129
271,causal,50150
271,score,50150
272,causal,49899
272,treat_none,45506
272,score,49899
272,random,46977
272,treat_all,59740
273,causal,50048
273,treat_none,45601
273,treat_all,59817
273,random,46960
273,score,50048
274,random,47214
274,score,50075
274,treat_all,59906
274,treat_none,45724
274,causal,50075
275,random,46975
275,treat_none,45593
275,score,49884
275,treat_all,59667
275,causal,49884
276,treat_none,45540
276,random,46970
276,score,49939
276,treat_all,59834
276,causal,49939
277,causal,50036
277,treat_all,59695
277,random,47058
277,treat_none,45647
277,score,50036
278,treat_all,59651
278,score,49920
