run_id,policy,outcome
149,score,44316
149,treat_all,49885
150,treat_all,49966
150,random,46168
150,score,44580
150,causal,47707
150,treat_none,45721
151,treat_all,50012
151,score,44578
151,causal,47747
151,random,46128
151,treat_none,45662
152,score,44631
152,causal,47803
152,random,46183
152,treat_none,45771
152,treat_all,50136
153,random,46336
153,causal,47915
153,score,44749
153,treat_all,50155
153,treat_none,45913
154,random,46001
154,treat_none,45517
154,causal,47571
154,treat_all,49860
154,score,44409
155,causal,47555
155,treat_none,45579
155,random,45956
155,treat_all,49843
155,score,44463
156,score,44320
156,causal,47525
156,random,45902
156,treat_all,49717
156,treat_none,45477
157,treat_none,45286
157,score,44195
157,treat_all,49842
157,causal,47370
157,random,45730
158,score,44534
158,random,46062
158,treat_all,49872
158,causal,47707
158,treat_none,45663
159,random,46421
159,treat_none,45986
159,score,44893
159,treat_all,50166
159,causal,47927
160,treat_none,45725
160,random,46167
160,score,44587
160,treat_all,50028
160,causal,47699
161,score,44502
161,causal,47668
161,treat_none,45594
161,treat_all,49989
161,random,45989
162,causal,47717
162,treat_all,49936
162,treat_none,45662
162,score,44556
162,random,46105
163,random,45854
163,causal,47489
163,treat_all,49837
163,treat_none,45428
163,score,44320
164,causal,47744
164,treat_none,45751
164,score,44628
164,treat_all,49981
164,random,46147
165,treat_none,45537
165,causal,47511
165,random,45983
165,score,44397
165,treat_all,49828
166,score,44528
166,treat_all,49786
166,causal,47466
166,random,45967
166,treat_none,45559
167,treat_all,49760
167,score,44576
167,causal,47747
167,treat_none,45714
167,random,46137
168,score,44583
168,random,46106
168,treat_all,49953
168,causal,47700
168,treat_none,45688
169,treat_none,45743
169,random,46175
169,score,44642
169,causal,47775
169,treat_all,50040
170,score,44507
170,random,46034
170,causal,47606
170,treat_all,50006
170,treat_none,45605
171,score,44516
171,treat_all,49868
171,treat_none,45546
171,random,45939
171,causal,47553
172,treat_all,50355
172,random,46410
172,causal,47993
172,score,44908
172,treat_none,45980
173,score,44797
173,treat_all,50250
173,treat_none,45878
173,random,46336
173,causal,47868
174,treat_none,45618
174,score,44523
174,causal,47667
174,random,46028
174,treat_all,50029
175,causal,47640
175,random,46085
175,treat_all,49892
175,treat_none,45608
175,score,44536
176,score,44491
176,causal,47689
176,treat_all,49857
176,random,46094
176,treat_none,45670
177,causal,47818
177,treat_none,45848
177,random,46241
177,treat_all,50081
177,score,44754
178,random,46087
178,treat_all,49979
178,causal,47679
178,score,44518
178,treat_none,45623
179,treat_none,45430
179,random,45887
179,causal,47457
179,treat_all,49841
179,score,44348
180,treat_none,45547
180,treat_all,49897
180,random,46000
180,causal,47517
180,score,44418
181,causal,47872
181,score,44753
181,treat_all,50123
181,random,46264
181,treat_none,45866
182,score,44609
182,treat_none,45699
182,treat_all,50030
182,causal,47749
182,random,46137
183,score,44531
183,random,46077
183,treat_none,45658
183,treat_all,50039
183,causal,47681
184,score,44608
184,random,46180
184,treat_none,45746
184,causal,47753
184,treat_all,49930
185,causal,47837
185,random,46378
185,treat_all,50246
185,score,44760
185,treat_none,45885
186,random,46309
186,treat_all,50022
186,score,44719
186,causal,47842
186,treat_none,45880
187,score,44451
187,treat_all,49726
187,random,45964
187,causal,47570
187,treat_none,45536
188,causal,47632
188,treat_all,50072
188,treat_none,45580
188,random,46012
188,score,44527
189,causal,47700
189,random,46145
189,score,44570
189,treat_none,45694
189,treat_all,49767
190,treat_none,45796
190,score,44663
190,treat_all,50130
190,causal,47848
190,random,46223
191,treat_all,49953
191,random,46038
191,score,44509
191,treat_none,45605
191,causal,47626
192,score,44593
192,causal,47672
192,treat_none,45648
192,treat_all,50002
192,random,46118
193,score,45007
193,causal,48092
193,treat_all,50240
193,treat_none,46165
193,random,46532
194,score,44542
194,treat_none,45665
194,causal,47604
194,treat_all,49861
194,random,46083
195,random,46229
195,treat_all,49998
195,score,44710
195,treat_none,45842
195,causal,47846
196,random,46145
196,treat_none,45773
196,score,44649
196,causal,47836
196,treat_all,50002
197,score,44296
197,treat_none,45371
197,causal,47391
197,treat_all,49738
197,random,45782
198,causal,47728
198,random,46135
198,treat_all,49917
198,score,44582
198,treat_none,45715
199,score,44415
199,causal,47703
199,treat_all,50033
199,random,45985
199,treat_none,45534
200,treat_all,49829
200,random,45994
200,score,44405
200,causal,47567
200,treat_none,45553
201,score,44546
201,treat_all,49936
201,causal,47579
201,random,46092
201,treat_none,45614
202,treat_all,50135
202,random,46350
202,causal,47893
202,treat_none,45899
202,score,44775
203,random,46139
203,treat_all,49985
203,causal,47778
203,treat_none,45755
203,score,44645
204,treat_none,45468
204,random,45893
204,treat_all,49791
204,score,44329
204,causal,47432
205,random,46090
205,treat_all,49817
205,causal,47692
205,treat_none,45691
205,score,44577
206,random,46298
206,score,44739
206,treat_all,50014
206,causal,47841
206,treat_none,45873
207,treat_all,50122
207,random,46334
207,causal,47927
