run_id,treat_none,treat_all,random,score,causal
174,45618,50029,46028,44523,47667
175,45608,49892,46085,44536,47640
176,45670,49857,46094,44491,47689
177,45848,50081,46241,44754,47818
178,45623,49979,46087,44518,47679
179,45430,49841,45887,44348,47457
180,45547,49897,46000,44418,47517
181,45866,50123,46264,44753,47872
182,45699,50030,46137,44609,47749
183,45658,50039,46077,44531,47681
184,45746,49930,46180,44608,47753
185,45885,50246,46378,44760,47837
186,45880,50022,46309,44719,47842
187,45536,49726,45964,44451,47570
188,45580,50072,46012,44527,47632
189,45694,49767,46145,44570,47700
190,45796,50130,46223,44663,47848
191,45605,49953,46038,44509,47626
192,45648,50002,46118,44593,47672
193,46165,50240,46532,45007,48092
194,45665,49861,46083,44542,47604
195,45842,49998,46229,44710,47846
196,45773,50002,46145,44649,47836
197,45371,49738,45782,44296,47391
198,45715,49917,46135,44582,47728
199,45534,50033,45985,44415,47703
200,45553,49829,45994,44405,47567
201,45614,49936,46092,44546,47579
202,45899,50135,46350,44775,47893
203,45755,49985,46139,44645,47778
204,45468,49791,45893,44329,47432
205,45691,49817,46090,44577,47692
206,45873,50014,46298,44739,47841
207,45925,50122,46334,44759,47927
208,45840,50013,46295,44732,47849
209,45661,49938,46098,44547,47656
210,45513,49828,45959,44383,47574
211,45795,49917,46213,44674,47770
212,45612,49950,46019,44560,47621
213,45403,49944,45809,44372,47383
214,45734,50130,46204,44602,47782
215,45560,49862,46042,44489,47553
216,45682,50045,46110,44555,47712
217,45811,50160,46249,44747,47835
218,45826,49951,46267,44691,47793
219,45664,49944,46066,44579,47684
220,45634,49829,46098,44513,47626
221,45585,49878,46024,44461,47613
222,45473,49875,45915,44315,47489
223,45781,50039,46218,44613,47816
224,45794,49951,46162,44728,47764
225,45794,50136,46217,44685,47713
226,45469,49739,45918,44362,47477
227,45775,50157,46238,44672,47803
228,45634,50012,45995,44545,47663
229,45759,49814,46213,44581,47667
230,45994,50341,46414,44915,48028
231,45924,50089,46408,44780,47897
232,45751,49945,46146,44637,47709
233,45659,49905,46086,44525,47631
234,45600,49921,46052,44434,47605
235,45722,50015,46155,44647,47700
236,45437,49819,45901,44335,47438
237,45852,50038,46248,44708,47842
238,45448,49659,45900,44401,47399
239,45999,50101,46364,44836,47956
240,45624,49926,46055,44511,47670
241,45909,50109,46339,44834,47894
242,45672,50038,46114,44566,47719
243,45555,49996,45989,44400,47626
244,45841,50006,46228,44734,47822
245,45913,49968,46320,44796,47966
246,45875,50131,46318,44760,47891
247,45822,50063,46261,44653,47853
248,45788,49989,46258,44709,47775
249,45609,49760,45990,44467,47620
250,45626,50075,46150,44498,47685
251,45580,49926,46008,44460,47579
252,45735,49975,46140,44581,47803
253,45621,49858,46079,44522,47606
254,45677,49909,46119,44577,47621
255,45495,49808,45886,44359,47484
256,45753,49995,46139,44592,47804
257,45678,49944,46018,44551,47696
258,45646,50040,46075,44531,47708
259,45986,50251,46390,44879,47904
260,45872,49897,46267,44719,47822
261,45569,49975,46038,44436,47604
262,45669,50045,46094,44550,47634
263,45710,50145,46118,44605,47770
264,45426,49643,45843,44301,47368
265,45813,49970,46237,44691,47774
266,45737,50022,46126,44589,47738
267,45781,49939,46204,44657,47757
268,45680,50021,46151,44573,47695
269,45748,49955,46145,44700,47715
270,45655,49917,46031,44593,47637
271,45760,50014,46176,44598,47751
272,45506,49911,45901,44377,47553
273,45601,49789,46024,44501,47614
274,45724,49991,46160,44644,47728
275,45593,49959,46007,44509,47656
276,45540,49972,45975,44446,47592
277,45647,49916,46031,44526,47628
278,45472,49514,45912,44297,47437
279,45958,50279,46372,44873,47952
280,45845,50006,46266,44679,47829
281,45547,49838,45971,44412,47572
282,45678,50091,46134,44609,47684
283,45720,49921,46139,44604,47748
284,45725,49972,46111,44600,47687
285,45788,49964,46174,44667,47785
286,45913,49984,46302,44793,47896
287,45809,49892,46209,44680,47782
288,45538,49726,45982,44434,47568
289,45672,50006,46105,44570,47705
290,45809,50021,46166,44679,47792
291,45627,49790,46030,44478,47652
292,46125,50262,46508,45000,48153
293,45720,49911,46111,44553,47678
294,45751,50102,46212,44674,47743
295,45786,50062,46199,44620,47746
296,45737,50159,46227,44675,47735
297,45693,49984,46063,44574,47750
298,45965,50135,46364,44773,47936
299,45632,49971,46093,44536,47643
300,45735,49883,46169,44622,47750
301,45782,50095,46242,44670,47753
302,45720,49804,46107,44544,47646
303,45483,49970,45955,44438,47554
304,45454,49978,45910,44398,47434
305,45857,49963,46273,44788,47832
306,45997,50162,46390,44837,47984
307,45861,50126,46269,44693,47876
308,45705,49950,46087,44551,47745
309,45845,50056,46224,44737,47869
310,45797,50141,46236,44714,47838
311,45603,49906,46035,44470,47661
312,45528,49964,45988,44423,47525
313,45789,50084,46225,44746,47818
314,45712,50095,46150,44598,47704
315,45812,50070,46195,44719,47805
316,45886,50138,46336,44760,47905
317,45551,49950,45965,44421,47561
318,45751,50044,46212,44651,47780
319,45853,50120,46321,44747,47820
320,45700,49997,46102,44582,47705
321,45699,50023,46179,44571,47737
322,45868,50156,46271,44745,47825
323,45524,49985,45989,44435,47506
324,45781,49998,46162,44622,47790
325,45778,50031,46220,44665,47741
326,45990,50283,46370,44875,48042
327,45723,50099,46138,44645,47728
328,45612,50198,46049,44538,47592
329,45734,49984,46210,44604,47778
330,45462,49883,45923,44398,47508
331,45576,49928,45993,44461,47651
332,45644,50123,46078,44541,47724
333,45817,50092,46236,44721,47862
334,45576,49914,45999,44442,47628
335,45880,50053,46341,44747,47938
336,45606,49853,46029,44523,47572
337,45737,50053,46140,44607,47794
338,45563,49754,46016,44488,47541
339,45509,49885,45993,44376,47536
340,45437,49722,45887,44324,47477
341,45642,50128,46126,44615,47682
342,45816,50042,46246,44739,47831
343,45531,49760,45969,44440,47498
344,45675,49991,46095,44565,47641
345,45508,49922,45921,44410,47529
346,45665,49880,46101,44579,47664
347,45680,49985,46087,44609,47667
348,45692,50033,46122,44574,47712
349,45719,50028,46126,44613,47759
350,45597,49960,46014,44507,47614
351,45636,49955,46036,44470,47675
352,45611,49975,46037,44491,47631
353,45770,50125,46210,44667,47769
354,45633,50101,46125,44554,47655
355,45755,50074,46224,44642,47785
356,45750,50117,46196,44606,47803
357,45432,49761,45837,44353,47460
358,45623,49863,46065,44492,47659
359,45703,49996,46157,44595,47646
360,45695,50161,46167,44574,47786
361,45457,49924,45953,44323,47563
362,45893,50182,46335,44769,47874
363,45682,50050,46147,44620,47729
364,45755,50068,46230,44673,47795
365,45698,49973,46148,44591,47676
366,45821,50013,46248,44732,47818
367,45664,50004,46061,44576,47664
368,45700,49984,46102,44644,47722
369,45536,49933,45997,44378,47585
370,45714,50145,46179,44602,47751
371,45598,49958,46011,44483,47631
372,45666,49902,46068,44531,47704
373,45573,49916,46060,44463,47568
374,45578,49844,46006,44483,47618
375,45530,49958,45960,44469,47539
376,45666,50027,46084,44536,47677
377,45630,49921,46069,44539,47577
378,45935,50219,46327,44855,47934
379,45668,49924,46068,44575,47633
380,45615,49877,46029,44488,47582
381,45576,49886,46056,44437,47588
382,45643,50083,46113,44580,47653
383,45840,50057,46252,44707,47840
384,45903,50169,46394,44810,47848
385,45443,49869,45912,44358,47486
386,45796,50188,46249,44707,47879
387,45706,50024,46158,44601,47710
388,45733,49969,46159,44638,47694
389,45908,50165,46283,44765,47896
390,45722,49971,46128,44650,47736
391,45683,50096,46114,44597,47670
392,45584,50018,46034,44493,47582
393,45690,49938,46108,44599,47685
394,45598,49918,46036,44449,47588
395,45577,50069,46064,44464,47592
396,45808,50066,46273,44745,47796
397,45513,49753,45938,44381,47490
398,45925,50150,46352,44809,47898
399,45509,49901,45931,44452,47523
400,45479,49820,45911,44412,47532
401,45624,49788,46056,44441,47620
402,45547,49817,45939,44485,47582
403,45780,50039,46211,44699,47837
404,45858,50141,46278,44685,47855
405,45507,50021,45935,44357,47602
406,45498,50087,45973,44362,47528
407,45645,50131,46063,44532,47709
408,45552,49943,46006,44501,47549
409,45441,49804,45873,44334,47447
410,45842,50183,46303,44720,47861
411,45798,49979,46186,44694,47816
412,45831,50117,46253,44693,47838
413,45505,49852,45916,44432,47571
414,45504,49990,45924,44413,47636
415,45587,49962,45984,44493,47604
